Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Деревʼянко,Антон,Богданович,Чоловіча,2005-05-28,Гицель,селище Соледар,"сквер Леваневського, буд. 078 кв. 25, Надвірна, 64744",060 763 46 82,sofiiatkach@example.net
Захарченко,Віра,Дмитрівна,Жіноча,1939-09-24,Музикознавець,хутір Збараж,"проспект Омська, буд. 999 кв. 9, Южноукраїнськ, 76215",940 64 77,uivanenko@example.org
Іщенко,Сергій,Сергійович,Чоловіча,1976-12-07,Випробувач,місто Мала Виска,"провулок Матроський узвіз, буд. 73 кв. 36, Соснівка , 85976",678-93-06,hartym@example.org
Журба,Златослава,Валентинівна,Жіноча,1943-10-24,Геофізик,селище Вилкове,"площа Левітана, буд. 00 кв. 61, Новгород-Сіверський, 18931",335-24-98,markosomko@example.net
Цимбалюк,Гаврило,Миколайович,Чоловіча,1940-01-21,Науковець,селище Жданівка,"узвіз Чернишевського, буд. 8, Коломия, 20079",239-47-14,ruslan21@example.com
Парасюк,Віктор,Андрійович,Чоловіча,1973-02-17,Юрист,село Камінь-Каширський,"узвіз Поштовий, буд. 974 кв. 0, Білицьке, 24610",+380 24 098 48 81,yandroshchuk@example.org
Артимович,Оксана,Миколаївна,Жіноча,1966-10-30,Машиніст,селище Острог,"парк Довга, буд. 9, Берегове, 38864",530-47-19,anastasiia52@example.com
Шутько,Варвара,Андріївна,Жіноча,1971-11-08,Гірничий інженер,село Бар,"набережна Північний, буд. 6, Олександрівськ, 86921",556-96-18,sdakhno@example.com
Єфименко,Богуслава,Миколаївна,Жіноча,1986-09-27,Фольклорист,місто Коростишів,"набережна Травневий 5-й, буд. 768, Гайворон, 44002",562 60 65,feofanshynkarenko@example.org
Талан,Петро,Михайлович,Чоловіча,1956-12-22,Шериф,хутір Федорівка,"набережна Іванівська, буд. 8 кв. 00, Чуднів, 82495",813-51-71,sruban@example.com
Дацюк,Леопольд,Федорович,Чоловіча,1953-05-04,Правник,місто Гайсин,"сквер Довга, буд. 733, Миколаїв, 21940",+380 71 626-45-12,zynovii03@example.com
Стець,Степан,Євгенович,Чоловіча,1979-12-02,Бібліограф,місто Знам'янка,"парк Заводська 4-та, буд. 179 кв. 5, Куп'янськ, 35612",+380 96 105 89 97,zakharskorobohatko@example.org
Гайдабура,Аврелій,Борисович,Чоловіча,1990-04-09,Візажист,хутір Полонне,"шосе Кавказький, буд. 974 кв. 486, Черкаси, 03732",+380 17 843-37-96,vdovychenkonazar@example.com
Гайденко,Петро,Сергійович,Чоловіча,1964-11-16,Графік,хутір Сокиряни,"проспект Кутова, буд. 401 кв. 33, Горлівка, 65117",+380 21 994-90-48,wbaida@example.org
Ковпак,Гордій,Андрійович,Чоловіча,1943-04-15,Інженер,хутір Бібрка,"проспект Тираспольська, буд. 527, Болехів, 70487",463 43 60,liubov19@example.com
Товстоліс,Ростислав,Олександрович,Чоловіча,1958-06-24,Професор,селище Сєвєродонецьк,"провулок Аеропортівський 5-й, буд. 88, Боково-Хрустальне, 03123",451-48-33,martadashkevych@example.org
Цюцюра,Єлисавета,Володимирівна,Жіноча,1999-12-31,Золотар,селище Барвінкове,"провулок Рєпіна, буд. 824, Шумськ, 03447",+380 57 109-25-55,baklanandrii@example.net
Бандурка,Дан,Сергійович,Чоловіча,1984-02-10,Складальник,село Носівка,"площа Ланжерон, буд. 646, Зоринськ, 54256",+380 25 030 04 71,rsahal@example.org
Ґерус,Арсен,Євгенович,Чоловіча,1999-10-14,Ді-джей,хутір Золоте,"узвіз Черепанових, буд. 110, Дружківка, 49812",013-92-16,liudmyla55@example.net
Чередник,Михайло,Борисович,Чоловіча,1942-12-13,Економіст,селище Приморськ (Україна),"площа Дубова, буд. 125, Славутич, 82078",003 190 78 01,dvatamaniuk@example.net
Скорик,Людмила,Володимирівна,Жіноча,1956-02-23,Вчитель,селище Рава-Руська,"провулок Молодіжна, буд. 51, Світловодськ, 25212",+380 97 201 62 11,havryshieva@example.com
Романець,Антон,Віталійович,Чоловіча,2005-08-26,Сантехнік,селище Світлодарськ,"проспект Академіка Сахарова, буд. 295, Світловодськ, 15917",656-15-46,valentyna19@example.com
Теличенко,Назар,Михайлович,Чоловіча,1990-01-18,Ювелір,місто Тлумач,"площа Соляний 4-й, буд. 818, Дунаївці, 79853",+380 (73) 173-39-19,larysa45@example.org
Кириленко,Юстина,Миколаївна,Жіноча,1970-12-09,Вчитель,хутір Почаїв,"узвіз Волна тупик, буд. 236, Ржищів, 18854",+380 42 213-15-33,zynovii87@example.net
Тесленко,Климент,Федорович,Чоловіча,1955-11-27,Геофізик,місто Кодима,"сквер Лінія 29-та, буд. 631, Галич, 13737",038 686-22-36,mskorobohatko@example.org
Лагода,Надія,Віталіївна,Жіноча,2005-12-14,Адвокат,селище Бобринець,"набережна Чорноморський 10-й, буд. 572, Хорол , 50138",+380 65 645-30-93,briabchenko@example.com
Ващук,Маруся,Іванівна,Жіноча,1985-06-30,Різноробочий,місто Шепетівка,"узвіз Лунний, буд. 720 кв. 646, Берестечко, 49289",279-90-93,wdanko@example.org
Приходько,Богдан,Романович,Чоловіча,2004-08-09,Ювелір,село Василівка ,"сквер Святослава Ріхтера, буд. 61, Сєвєродонецьк, 28068",007 849 88 34,mykhailynaokhrymovych@example.org
Палій,Хома,Сергійович,Чоловіча,1989-08-09,Скульптор,село Ромни,"проспект Студентський, буд. 239, Кролевець, 37883",+380 27 091-92-83,bfareniuk@example.com
Зарудний,Арсен,Володимирович,Чоловіча,1991-07-06,Кушнір,селище Лисичанськ,"сквер Безіменний, буд. 28, Антрацит , 15695",067 325-61-78,myronoliinyk@example.net
Заруба,Миколай,Юрійович,Чоловіча,1980-12-06,Петрограф,село Соснівка ,"набережна Яхненка Семена, буд. 88, Ірміно, 74117",+380 01 796-67-52,violetta57@example.org
Годунок,Прохір,Олександрович,Чоловіча,1950-03-06,Ветеринар,хутір Джанкой,"узвіз Аеропортівський 5-й, буд. 4, Коростишів, 80098",+380 (78) 200-55-94,liubovdemydenko@example.org
Вернигора,Аніта,Іванівна,Жіноча,1992-07-22,Архітектор,хутір Сколе,"шосе Одеська, буд. 56, Сімферополь, 65792",+380 89 593-20-41,somkoviacheslav@example.net
Устенко,Богданна,Олександрівна,Жіноча,1975-01-31,Літературознавець,село Селидове,"провулок Восьмого Березня Лінія 2-га, буд. 58 кв. 925, Куп'янськ, 11057",+380 89 447-32-44,qperepelytsia@example.org
Малик,Давид,Володимирович,Чоловіча,1972-09-30,Палеонтолог,селище Волноваха,"шосе Слави, буд. 0, Золочів, 60804",048 882 32 06,haidenkoemiliia@example.org
Макогон,Петро,Іванович,Чоловіча,1951-03-14,Доцент,місто Мостиська,"сквер Липнева, буд. 205, Бунге , 41262",053 562-21-80,huzherman@example.org
Христич,Тарас,Андрійович,Чоловіча,1997-05-17,Складальник,село Здолбунів,"вулиця Ванцетті, буд. 2, Перечин, 10641",053 537-80-74,olhanestaiko@example.net
Пустовіт,Оксенія,Михайлівна,Жіноча,1970-11-08,Піаніст,селище Золочів,"набережна Смоленська, буд. 2 кв. 91, Тростянець, 06448",024 425-57-08,stefansaienko@example.org
Вдовиченко,Мирослав,Сергійович,Чоловіча,1954-01-29,Стропальник,хутір Слов'янськ,"вулиця Ювілейний 2-й, буд. 3, Іллінці, 10777",+380 58 212-87-44,iustym48@example.org
Андрейко,Зиновій,Олегович,Чоловіча,1972-07-03,Астрофізик,село Чоп,"сквер Митна, буд. 6, Вилкове, 34885",+380 (28) 882-34-26,ada05@example.com
Єсипенко,Данна,Олегівна,Жіноча,1979-03-29,Електромонтер,селище Горлівка,"шосе Рибальський, буд. 43 кв. 498, Привілля, 05833",+380 (89) 262-72-53,demyd15@example.org
Онищенко,Леон,Євгенович,Чоловіча,1963-12-15,Провізор,хутір Тараща,"набережна Композитора Глинки, буд. 770, Старокостянтинів, 24914",090 196-89-10,iarynakhorishko@example.com
Хоменко,Іван,Дмитрович,Чоловіча,1964-09-22,Електротехнік,селище Вознесенськ,"проспект Хімічний 2-й, буд. 404 кв. 30, Долинська, 89403",+380 (91) 810-49-11,parmenbevz@example.org
Ґоляш,Оксана,Віталіївна,Жіноча,2003-02-02,Пілот,селище Новий Розділ,"площа Недєліна, буд. 9 кв. 6, Рівне, 13073",863-03-47,sheremetpanas@example.net
Корсун,Георгій,Борисович,Чоловіча,2006-02-10,Електромонтер,хутір Христинівка,"сквер Кипарисний 3-й, буд. 0 кв. 19, Южноукраїнськ, 38545",+380 12 020-48-27,baklanpriska@example.com
Лавренко,Лілія,Сергіївна,Жіноча,2002-03-26,Скульптор,селище Горлівка,"сквер Спортивна, буд. 31, Тульчин, 32541",247-57-00,chumaklevko@example.com
Вишняк,Венедикт,Богданович,Чоловіча,1940-07-30,Редактор,місто Збараж,"площа Крилова, буд. 02, Хорол , 06191",+380 08 240-15-37,artem69@example.org
Чорновіл,Еріка,Романівна,Жіноча,1986-07-05,Композитор,місто Кролевець,"вулиця 2-га Суворовська, буд. 3 кв. 1, Перемишляни, 89682",+380 11 633 27 93,kyrylostets@example.com
Вовк,Людмила,Олегівна,Жіноча,2001-01-12,М'ясник,місто Дебальцеве,"площа Амундсена, 1-й, буд. 2, Бережани, 31100",+380 25 108 93 67,semen69@example.com
Рудик,Опанас,Григорович,Чоловіча,1978-02-27,Провізор,місто Євпаторія,"сквер Обільний 2-й, буд. 1 кв. 724, Жовті Води, 93272",002 845 80 11,rchaban@example.org
Фаренюк,Валентин,Віталійович,Чоловіча,2006-09-09,Соціолог,місто Коростень,"узвіз Короленка, буд. 3, Амвросіївка, 82500",+380 70 949-21-74,roman27@example.com
Давимука,Максим,Євгенович,Чоловіча,1951-03-14,Зоолог,місто Лубни,"набережна Старокінний, буд. 501 кв. 21, Лиман , 48479",+380 74 767 86 23,rpetrenko@example.net
Литвиненко,Христина,Юріївна,Жіноча,1990-12-30,Літературознавець,селище Макіївка,"площа Дачний, буд. 6 кв. 0, Прилуки, 80686",241 42 71,karonets@example.net
Зінченко,Лілія,Андріївна,Жіноча,2008-06-11,Професор,село Сміла,"вулиця Приморська, буд. 05, Новогродівка, 93235",+380 16 050 90 14,halyna06@example.com
Яремків,Гордій,Григорович,Чоловіча,1985-11-22,Пекар,хутір Новогродівка,"провулок Рибальський, буд. 1 кв. 85, Дружба , 44830",054 534 84 48,tlytvynenko@example.org
Бандера,Орест,Петрович,Чоловіча,1944-07-22,Кухар,село Кропивницький,"вулиця Прорізний, буд. 7 кв. 2, Рахів, 28288",031 671-85-50,myroniatsenko@example.org
Забара,Азар,Володимирович,Чоловіча,1992-07-07,Дипломат,село Слов'янськ,"сквер Восьмого березня узвіз, буд. 14, Канів, 28171",+380 (02) 234-12-30,flemeshko@example.com
Кармалюк,Орест,Олександрович,Чоловіча,2002-05-18,Зоолог,місто Боково-Хрустальне,"провулок Оранжерейний, буд. 91 кв. 369, Кропивницький, 91056",070 967 88 30,hkhomyk@example.org
Атаманчук,Венедикт,Юрійович,Чоловіча,1956-07-29,Медик,селище Вовчанськ,"площа Олександра Невського 4-й, буд. 4, Дружківка, 75626",+380 17 435-11-78,nestaikolukian@example.net
Чорновіл,Богданна,Романівна,Жіноча,1986-09-07,Випробувач,село Остер ,"сквер Кордонна, буд. 692, Курахове, 86025",032 766-99-13,babarychenkoostap@example.org
Чорновіл,Єлисей,Юрійович,Чоловіча,1947-07-04,Музичний редактор,село Буча,"узвіз Посмітного, буд. 007, Миронівка, 90930",938 58 11,valentynamykhaliuk@example.com
Саченко,Анастасія,Богданівна,Жіноча,2005-06-09,Патологоанатом,хутір Почаїв,"вулиця Миколаївський 1-й, буд. 12 кв. 5, Лозова , 69703",039 784-84-40,hanna39@example.com
Верменич,Аліна,Євгенівна,Жіноча,1943-08-11,Няня,селище Белз,"площа Ромашкова, буд. 281, Новодружеськ, 42876",+380 41 813 18 67,danna00@example.org
Базавлученко,Антон,Валентинович,Чоловіча,1980-04-13,Дерун,село Лохвиця,"вулиця Басейний 2-й, буд. 51, Бунге , 06175",+380 02 643-78-78,valentyna10@example.net
Іщак,Орхип,Юрійович,Чоловіча,1943-04-08,Провізор,хутір Українськ,"сквер Проектний 5-й, буд. 5 кв. 9, Старокостянтинів, 51514",096 889-49-42,otalan@example.com
Джунь,Володимир,Федорович,Чоловіча,2008-07-02,Соціолог,селище Южноукраїнськ,"узвіз 3-тя Лінія Марії Демченко, буд. 205, Зимогір'я, 71849",950-35-93,myroslav82@example.org
Охріменко,Аркадій,Федорович,Чоловіча,1987-07-29,Сантехнік,місто Хорол ,"набережна Юннатів 1-й, буд. 710, Курахове, 74736",012 580-47-41,iieshchenko@example.net
Терещук,Станіслав,Григорович,Чоловіча,1985-09-10,Педагог,село Жашків,"проспект Лиманчик 2-й Лінія 3-тя, буд. 6 кв. 367, Нововолинськ, 64080",+380 92 026-46-01,fedirvernyhora@example.org
Скорик,Ліза,Дмитрівна,Жіноча,1973-02-27,Музичний редактор,село Кодима,"шосе 8-ма Суворовська, буд. 96, Миколаївка , 05127",+380 31 438-87-50,maksymdutka@example.com
Девдюк,Тетяна,Сергіївна,Жіноча,1958-03-17,Агроном,місто Батурин,"площа Шишкіна 3-й, буд. 5 кв. 6, Золоте, 06467",+380 26 738 16 35,leopold87@example.com
Юрчишин,Соломія,Андріївна,Жіноча,1986-08-06,Няня,хутір Кременець,"парк Лінійний, буд. 6 кв. 31, Радомишль, 93762",+380 51 361-36-21,tasaula@example.com
Батіг,Лариса,Євгенівна,Жіноча,1989-11-15,Електротехнік,село Коломия,"парк Андрійця Олега, буд. 5, Гнівань, 37087",073 207 66 92,vyshyvanyiustym@example.net
Тарасенко,Микита,Сергійович,Чоловіча,2002-08-31,Диригент,селище Коростень,"шосе Олександра Кутузакія, буд. 022, Новоукраїнка, 14097",+380 (72) 960-78-02,klyment91@example.com
Андріїшина,Ярослава,Миколаївна,Жіноча,1940-03-28,Продюсер,хутір Монастирище,"вулиця Тираспольське, буд. 0 кв. 770, Гуляйполе, 14755",287 72 21,orestfilipenko@example.net
Жарко,Одарка,Богданівна,Жіноча,1952-02-07,Ґрунтознавець,хутір Скалат,"узвіз Восьмого березня 7-й, буд. 74, Довжанськ, 60262",+380 59 519-41-73,danylchukpavlo@example.net
Фастенко,Амвросій,Олександрович,Чоловіча,1980-08-23,Патологоанатом,селище Селидове,"набережна Аеропортівський 6-й, буд. 405, Кремінна, 29253",+380 05 384-30-83,svystunroman@example.net
Шеремет,Олекса,Сергійович,Чоловіча,1995-02-22,Педагог,хутір Кілія,"шосе Літній, буд. 470 кв. 663, Старий Крим, 99431",582-54-54,dlytvyn@example.net
Закусило,Юхим,Богданович,Чоловіча,1958-04-15,Палеонтолог,село Павлоград,"провулок Верстатобудівна, буд. 7, Арциз, 64570",054 954 17 60,rnosachenko@example.com
Ковалюк,Аврелій,Федорович,Чоловіча,2000-01-31,Ді-джей,місто Могилів-Подільський,"проспект Дальницька, буд. 9, Зміїв, 60717",016 488-82-61,htsiutsiura@example.com
Перепелиця,Ада,Володимирівна,Жіноча,1985-06-25,Модельєр,хутір Жовква,"проспект Андреєвського, буд. 1 кв. 5, Герца, 34261",+380 15 771-83-35,ustymtsiupa@example.com
Зінчук,Вʼячеслав,Миколайович,Чоловіча,1973-11-02,Менеджер,хутір Кальміуське,"узвіз Верхня, буд. 173 кв. 53, Харків, 36149",+380 77 352 68 95,odankiv@example.net
Устенко,Віра,Миколаївна,Жіноча,1989-05-22,Слідчий,місто Кам'янка-Дніпровська,"сквер Вапняний 2-й, буд. 41 кв. 0, Армянськ, 08189",+380 (83) 199-87-87,protsenkoalevtyn@example.com
Фастенко,Демид,Іванович,Чоловіча,1959-04-12,Соціолог,село Ірміно,"провулок Косовська, буд. 56 кв. 3, Умань, 43128",+380 18 856-90-24,zabashtaorkhyp@example.com
Засядько,Спас,Юрійович,Чоловіча,2006-04-12,Кінокритик,місто Кролевець,"сквер Люстдорфська дорога, буд. 388 кв. 520, Миргород, 14728",+380 56 473 00 14,kolodubnataliia@example.com
Скирда,Станіслав,Федорович,Чоловіча,1993-11-17,Вчитель,місто Новгород-Сіверський,"вулиця Матюшенка, буд. 2, Новогродівка, 29275",073 939-33-89,zaietsroman@example.org
Тесля,Макар,Валентинович,Чоловіча,1958-04-02,Антрополог,місто Василівка ,"вулиця Юннатів 1-й, буд. 58 кв. 8, Новоазовськ, 02915",+380 49 716-01-98,sofiiaumanets@example.net
Супруненко,Степан,Романович,Чоловіча,1972-12-06,Художник,місто Гола Пристань,"узвіз Педагогічна, буд. 8 кв. 00, Новоселиця, 57357",056 524-97-80,valerii47@example.net
Гайдай,Оксана,Григорівна,Жіноча,1967-01-21,Адвокат,хутір Жовква,"провулок Отрадна, буд. 67 кв. 1, Харків, 49964",+380 80 900 35 61,symon69@example.com
Щербак,Леопольд,Валентинович,Чоловіча,1955-06-10,Гінеколог,село Хорол ,"шосе Грибоєдова, буд. 277, Погребище, 96213",085 203 34 62,slemeshko@example.org
Шеремет,Вʼячеслав,Олександрович,Чоловіча,1993-06-26,Науковець,село Соледар,"парк Тінистий, буд. 118, Ромни, 50690",+380 29 164 70 82,larysa17@example.net
Дашенко,Марина,Миколаївна,Жіноча,2004-08-30,Локсмайстер,селище Тростянець,"набережна Проектна 2-га, буд. 842 кв. 56, Андрушівка, 87161",+380 51 273-67-50,ihnatnikoliuk@example.org
Непорожній,Альберт,Віталійович,Чоловіча,1970-09-17,Графік,хутір Одеса,"сквер Сливова, буд. 5 кв. 7, Чоп, 04460",070 249-93-25,volodymyr39@example.org
Сич,Едуард,Романович,Чоловіча,1950-06-23,Кінокритик,селище Павлоград,"шосе Новощіпний ряд, буд. 949 кв. 8, Попасна, 10095",308 98 11,lahodavira@example.org
Бандурка,Орина,Юріївна,Жіноча,1997-01-18,Актор,хутір Соледар,"шосе 5-та Суворовська, буд. 447 кв. 0, Сторожинець, 98713",+380 14 920-90-73,ovakhnii@example.net
Голик,Ліза,Олександрівна,Жіноча,1983-10-05,Маркетолог,селище Шахтарськ,"сквер Шишкіна, буд. 65 кв. 79, Гірське, 33563",084 515 51 39,vladyslav98@example.net
Ковалюк,Руслан,Валентинович,Чоловіча,1998-05-23,Штукатур,селище Дніпро ,"узвіз Ширшова, буд. 33, Підгайці, 50117",+380 01 248 20 64,shelestdanna@example.net
Юрчишина,Еріка,Михайлівна,Жіноча,1992-10-21,Правник,село Кіцмань,"провулок Ушакова, буд. 088, Добромиль, 35780",+380 74 959-09-95,kyrylenkomariia@example.net
Демʼяненко,Людмила,Іванівна,Жіноча,2003-02-28,Мірошник,село Дунаївці,"шосе Обільний 2-й, буд. 245 кв. 172, Каховка, 26432",+380 (49) 720-66-61,orysiahaivoronska@example.com
Колісниченко,Алла,Олександрівна,Жіноча,1988-10-06,Геолог,селище Лубни,"сквер Обільний 1-й, буд. 3, Миргород, 54888",041 955 85 29,khrystenkofedir@example.com
Вернигора,Сніжана,Валентинівна,Жіноча,1987-03-20,Диригент,хутір Бар,"провулок Проектований 3-й, буд. 8 кв. 50, Новоград-Волинський, 88565",050-79-55,bohodar82@example.com
Дацюк,Альберт,Миколайович,Чоловіча,1939-09-24,Менеджер,місто Тернівка ,"набережна Льва Толстого, буд. 67, Корюківка, 87393",253-25-08,aaron02@example.net
Ярема,Олег,Євгенович,Чоловіча,1947-11-06,Краєзнавець,село Вільногірськ,"шосе Радісний, буд. 5 кв. 45, Мена , 34790",540-80-40,parmen81@example.net
Ватаманюк,Орхип,Федорович,Чоловіча,1949-04-29,Модель,хутір Сєвєродонецьк,"провулок Перемоги, буд. 72 кв. 698, Славута, 15047",029 923 82 00,lsatsiuk@example.net
Лисенко,Венедикт,Романович,Чоловіча,1996-10-13,Нотаріус,місто Лиман ,"вулиця Книжковий, буд. 874, Бар, 43774",+380 46 161 34 46,jabramenko@example.com
Девдюк,Варфоломій,Петрович,Чоловіча,1952-12-07,Бібліотекар,місто Бахмач,"сквер Краснослобідський, буд. 6, Берегове, 14148",042 224 62 92,semenchenkodaryna@example.com
Канівець,Дан,Андрійович,Чоловіча,1940-06-01,Редактор,місто Приморськ (Україна),"проспект Левадна, буд. 29 кв. 6, Здолбунів, 48229",422-82-77,panteleimondankiv@example.com
Худобʼяк,Розалія,Богданівна,Жіноча,1965-08-20,Парфюмер,селище Семенівка,"вулиця Хутірський, буд. 951 кв. 7, Олевськ, 97609",083 630 70 93,nataliia32@example.net
Даценко,Данило,Євгенович,Чоловіча,2006-07-13,Електрослюсар,місто Богодухів,"вулиця Платанова, буд. 32 кв. 600, Буринь, 12889",+380 82 830-90-58,anton19@example.org
Батюк,Лариса,Федорівна,Жіноча,1958-09-22,Соціолог,хутір Знам'янка,"набережна Могилівська, буд. 0, Олександрія, 42673",+380 50 154-53-85,demianzharko@example.org
Сірченко,Сергій,Іванович,Чоловіча,1955-02-01,Економіст,місто Березівка,"узвіз Басейний 1-й, буд. 790 кв. 748, Іллінці, 55510",+380 06 680 47 54,onysymtkach@example.org
Кармалюк,Орися,Євгенівна,Жіноча,1965-04-30,Машиніст,селище Гірник ,"узвіз Кишинівська, буд. 5, Немирів, 88106",023 509 17 67,zynovii39@example.org
Охримович,Адам,Андрійович,Чоловіча,1960-05-20,Реабілітолог,село Скалат,"провулок Цегляна, буд. 51, Бережани, 23775",+380 75 299-14-27,petrykiustyna@example.com
Вахній,Аркадій,Федорович,Чоловіча,2002-01-08,Бібліотекар,хутір Умань,"площа Перлинна, буд. 609, Миргород, 44293",+380 11 437-95-64,levkoshchors@example.com
Шеремета,Еріка,Віталіївна,Жіноча,1955-03-17,Локсмайстер,селище Ялта,"площа Кристаловського, буд. 9, Борзна, 07729",079 248 15 89,artemivanchenko@example.com
Архипенко,Дан,Віталійович,Чоловіча,1999-11-06,Детектив,хутір Костопіль,"шосе Штабний, буд. 386 кв. 73, Заводське, 34518",+380 75 999 70 64,arsennestaiko@example.net
Байрак,Леонід,Михайлович,Чоловіча,1954-04-29,Диригент,селище Устилуг,"набережна Кришталева, буд. 6, Рава-Руська, 27847",+380 80 247-98-55,oviter@example.org
Чорновіл,Хома,Петрович,Чоловіча,1977-03-04,Паблік рилейшнз,селище Генічеськ,"набережна Розкидайлівська, буд. 3 кв. 80, Тлумач, 69412",085 814 41 38,vdovenkomilena@example.com
Литвин,Пилип,Петрович,Чоловіча,1950-07-23,Лікар,селище Зіньків,"узвіз Юрженка Олександра, буд. 77 кв. 7, Оріхів, 12458",+380 92 064-82-63,les32@example.com
Черненко,Георгій,Петрович,Чоловіча,1988-01-08,Гірник,селище Гребінка,"проспект Зелена, буд. 86, Генічеськ, 07302",+380 27 515 19 70,datsiukheorhii@example.com
Рубан,Максим,Михайлович,Чоловіча,1951-12-30,Випробувач,хутір Вашківці,"провулок Трудова, буд. 055 кв. 05, Бар, 22504",+380 84 514 38 81,rrebryk@example.org
Іванченко,Нестор,Юрійович,Чоловіча,1992-10-18,Бізнесмен,селище Коломия,"вулиця Прохоровська, буд. 30, Трускавець, 01425",+380 45 625 58 70,valeriikabanenko@example.com
